sessantuno,sesantü
sette,sèt
settanta,setanta
settantuno,setantü
settimana,setemana
cinque,sic
lavandino,sicér
scrofa,sina
sedersi,sintàs
catarro,smargàgn
sputo,smargàgn
smontare,smontà
scendere da,smontà
su,sö
ciabatta chiusa davanti,söbra
ceppo,sòc
zucca,söca
suola,söla
solito,sòlit
sputare,spüdà
sputo,spüt
duro,stagn
resistente,stagn
stagno,stagn
versar fuori,straacà
rovesciare,straacà
tracimare,straacà
stretto,strèt
frustino fatto con fuscelli,stròpa
sole,sul
solo,sul
ferro da stiro,suprisì
veloce,svèlto
svelto,svèlto
comiciare,tacà
attaccare,tacà
incollare,tacà
tagliare,taià
smettere,taià
tagliare,taià
ragnatela,talamora
tanto,tant
tavolo,taol
tavola,tàola
tartagliare,tartaià
balbettare,tartaià
the,tè
tu,té
te,té
tenero,tèner
morbido,tèner
soffice,tèner
terra,tèra
terrone,terù
persona dal sud Italia,terù
persona del sud Italia,terù
lanciare,tirà
tirare,tirà
cavatappi,tirabusù
prendere,tö
latta,tóla
bidone,tóla
brutta figura,tóla
tutto,töt
sparare,trà
tre,tré
tredici,trédes
trenta,trènta
trentuno,trentü
ancora,turna
nuovamente,turna
tornare,turnà
ritornare,turnà
ripetere un'azione,turnà
abituato,Üs
urlare,uzà
apprezzare,uzmà
trovare paicevole,uzmà
vai,va'
valle,val
vecchio,vècc
vecchia,vècc
venire,vègner
verde,vért
venti,vint
ventuno,vintü
venti-due,vinti-dù
venti-tre,vint-tré
volere,völer
vuoto,vöt
cianfrusaglia,zaài
giallo,zalt
giù,zó
giovane,zuen
testa d'aglio,bigol d'ai
a lot,fìs
a lot,fés
coniglio,conéč
pagliaccio,giüpì
burattino,giüpì
marionetta,giüpì
la provincia di Brescia,la pruìnsa de Brèsa
gli abitanti della provincia,i Brèsa
Les Fleurs du Mal,I Fiùr del Mal
focolare domestico,ca'
in capo al mondo,en có al mónt
che coglioni,che coióni
è molto bello,l'è bèl fés
sono arrivati tardissimo,i'è riacc tarde fés
polenta e uccelli,polènta e ozèi
un sacco di,ròs
gioco praticato in piazza specie in Val Trompia, battendo una palla da tennis con le mani,zöc de la bala
